Province,Campus,RedirectURL
Saskatchewan,University of Regina, https://myaccount.blood.ca/en/join-team/UNIV0104525
Saskatchewan,Campion College - University of Regina, https://myaccount.blood.ca/en/join-team/CAMP009109
Saskatchewan,La Cité  - University of Regina, https://myaccount.blood.ca/en/join-team/LACI0119094
Saskatchewan,University of Saskatchewan,https://myaccount.blood.ca/en/join-team/UNIV0128094
Saskatchewan,Saskatchewan Polytechnic , https://myaccount.blood.ca/en/join-team/SASK0128095
Saskatchewan,Western College of Veterinary Medicine, https://myaccount.blood.ca/en/join-team/WEST008362
Ontario,Western University, https://myaccount.blood.ca/en/join-team/WEST0128201
Ontario,Western University, https://myaccount.blood.ca/en/join-team/WEST0091664
British Columbia,Simon Fraser University, https://myaccount.blood.ca/en/join-team/SIMO0128096
British Columbia,University of the Fraser Valley, https://myaccount.blood.ca/en/join-team/UNIV013254
Ontario,Academy of Learning Career College , https://myaccount.blood.ca/en/join-team/ACAD0128097
Ontario,Anderson College, https://myaccount.blood.ca/en/join-team/ANDE0107508
Ontario,Sault College - Brampton, https://myaccount.blood.ca/en/join-team/SAUL0113464
Ontario,University of Toronto, https://myaccount.blood.ca/en/join-team/UNIV0128098
Ontario,York University, https://myaccount.blood.ca/en/join-team/YORK0128099
Ontario,Toronto Metropolitan University, https://myaccount.blood.ca/en/join-team/TORO0128100
British Columbia,University of British Columbia, https://myaccount.blood.ca/en/join-team/UNIV0128202
British Columbia,British Columbia Institute of Technology, https://myaccount.blood.ca/en/join-team/BCIT002206
British Columbia,CDI College, https://myaccount.blood.ca/en/join-team/CDIC0111951
British Columbia,Douglas College - New Westminster, https://myaccount.blood.ca/en/join-team/DOUG002414
British Columbia,Camosun College , https://myaccount.blood.ca/en/join-team/CAMO0128075
Ontario,Canadian Memorial Chiropratic College, https://myaccount.blood.ca/en/join-team/CMCC0125359
Ontario,Humber College - Lakeshore, https://myaccount.blood.ca/en/join-team/HUMB0106512
Ontario,Seneca Polytechnic College, https://myaccount.blood.ca/en/join-team/SENE0128076
British Columbia,Kwantlen Polytechnic University, https://myaccount.blood.ca/en/join-team/KWAN0128077
British Columbia,Trinity Western University, https://myaccount.blood.ca/en/join-team/TRIN0128203
Ontario,University of Ottawa, https://myaccount.blood.ca/en/join-team/UNIV0128078
New Brunswick,University of New Brunswick, https://myaccount.blood.ca/en/join-team/UNIV0128079
New Brunswick,l'Université de Moncton , https://myaccount.blood.ca/en/join-team/UNIV0128120
New Brunswick,New Brunswick Community College - NBCC, https://myaccount.blood.ca/en/join-team/NEWB0128141
New Brunswick,Oulton College, https://myaccount.blood.ca/en/join-team/OULT0109432
New Brunswick,St. Thomas University - Fredericton, https://myaccount.blood.ca/en/join-team/STTH008134
Manitoba,Assiniboine Community College , https://myaccount.blood.ca/en/join-team/ASSI0128142
Manitoba,University of Manitoba, https://myaccount.blood.ca/en/join-team/UNIV0128204
Manitoba,Brandon University, https://myaccount.blood.ca/en/join-team/BRAN0128205
Manitoba,Canadian Mennonite University, https://myaccount.blood.ca/en/join-team/CANA0128206
Manitoba,University of Winnipeg, https://myaccount.blood.ca/en/join-team/UNIV0128207
Manitoba,Providence College, https://myaccount.blood.ca/en/join-team/PROV0128143
Manitoba,Red River College Polytech, https://myaccount.blood.ca/en/join-team/REDR0128144
Manitoba,Université de Saint-Boniface-Club Étudiant des Études de la Santé, https://myaccount.blood.ca/en/join-team/UNIV0103799
Ontario,Cambrian College - Sudbury, https://myaccount.blood.ca/en/join-team/CAMB0128208
Alberta,MacEwan, https://myaccount.blood.ca/en/join-team/MACE0128209
Alberta,The King's University - Edmonton, https://myaccount.blood.ca/en/join-team/KING000439
Alberta,Northern Alberta Institute of Technology, https://myaccount.blood.ca/en/join-team/NORT0128210
Ontario,McMaster University, https://myaccount.blood.ca/en/join-team/MCMA0128145
Alberta,University of Calgary, https://myaccount.blood.ca/en/join-team/UNIV0128146
Ontario,Canadore College, https://myaccount.blood.ca/en/join-team/CANA0128211
Ontario,CTS Canadian Career College, https://myaccount.blood.ca/en/join-team/CTSC0128147
Ontario,Georgian College, https://myaccount.blood.ca/en/join-team/GEOR0128148
Ontario,Lakehead University, https://myaccount.blood.ca/en/join-team/LAKE0128149
